Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop
86.0,76.0,54.0,29.3159075,80.11585705,5.926824754,90.10978128,Banana
35.0,52.0,15.0,28.69841277,61.14754363,9.93509073,65.67591794,MothBeans
20.0,77.0,23.0,34.87248659,38.83786012,5.180271502,148.2502786,PigeonPeas
116.0,54.0,83.0,30.179315,74.115959,7.025982,1670.331846,Sugarcane
82.0,30.0,118.0,29.296613,75.561141,6.211809,2190.034767,Sugarcane
21.0,139.0,201.0,19.3642553,83.36094029,5.980598579,67.15094741,Grapes
30.0,35.0,41.0,30.109284,73.748095,6.335004,988.453205,Groundnut
3.0,141.0,197.0,21.98141856,91.12719303,6.142803397,115.4789148,Apple
36.0,16.0,27.0,26.362227,70.188458,5.334277,989.558754,Cassava
23.0,62.0,19.0,16.51783455,20.4555596,5.609435128,98.77794225,KidneyBeans
14.0,76.0,20.0,29.05941162,62.10652364,7.042474679,36.5011366,Lentil
70.0,38.0,35.0,24.39736241,79.26861738,7.014063944,164.2697011,Jute
10.0,55.0,23.0,21.18853178,19.63438599,5.728233081,137.1948633,KidneyBeans
26.0,16.0,38.0,28.55461,62.260594,5.302156,1073.259813,Cassava
58.0,67.0,45.0,38.72382798,91.72514851,6.702424548,62.62377075,Papaya
11.0,74.0,17.0,21.36383757,69.92375891,6.633864582,46.6352865,Lentil
8.0,37.0,33.0,28.07802689,54.9640534,6.128167757,97.45373619,Mango
131.0,60.0,17.0,25.32023717,81.79475917,7.425041316,83.46532547,Cotton
18.0,14.0,25.0,28.951766,32.525696,5.733738,483.791229,Millet
36.0,24.0,41.0,24.94467632,94.25702672,7.009180374,103.8799347,Pomegranate
51.0,32.0,65.0,22.856797,70.632253,6.039888,855.196657,SweetPotato
60.0,21.0,40.0,23.063244,58.272239,6.036007,908.74006,Tobacco
63.0,43.0,17.0,19.28889933,65.47050802,6.807487794,71.3195307,Maize
70.0,23.0,51.0,23.364446,96.932464,6.640815,2282.181407,Vanilla
61.0,35.0,56.0,26.290764,89.398461,6.147053,2231.110872,Vanilla
9.0,16.0,36.0,23.77989026,92.93386903,5.893332378,106.977723,Pomegranate
48.0,35.0,32.0,25.118429,74.626607,6.503869,773.925201,Soyabean
40.0,38.0,38.0,25.064872,67.224462,6.503876,927.94417,Soyabean
9.0,48.0,20.0,29.66461594,84.28187572,6.377568542,56.09542002,MungBean
28.0,29.0,46.0,27.226302,62.249296,6.554917,789.264557,Groundnut
78.0,22.0,48.0,22.782944,67.592687,6.039189,700.334895,Tobacco
69.0,66.0,49.0,40.00439101,90.17015833,6.52711001,92.11877372,Papaya
24.0,130.0,195.0,29.99677232,81.54156612,6.112305667,67.12534492,Grapes
40.0,28.0,41.0,24.193424,44.219622,7.249178,477.787651,SunflowerSeed
176.0,33.0,204.0,22.984029,67.256043,6.246545,1854.621539,Plantain
26.0,17.0,17.0,31.782438,40.514123,5.802465,318.697897,Millet
84.0,36.0,58.0,23.537702,66.492507,5.726254,689.911282,Tobacco
110.0,25.0,54.0,28.91105641,90.78413842,6.425930938,23.44398467,Muskmelon
174.0,41.0,236.0,24.890346,65.043137,6.417141,1599.189068,Plantain
33.0,16.0,24.0,29.30836,67.061246,5.034636,1382.812097,Cassava
72.0,27.0,63.0,29.099149,87.036066,6.253279,2249.757447,Cocoa
32.0,129.0,201.0,16.36251869,83.00471609,6.48754639,71.55665483,Grapes
66.0,35.0,60.0,23.89508,82.750045,6.14249,2030.779146,Vanilla
13.0,5.0,8.0,23.85340379,90.10522549,7.474710503,103.923226,Orange
82.0,37.0,89.0,31.728399,87.093084,5.832827,1996.256182,Cocoa
107.0,71.0,55.0,29.42017919,83.96754496,6.088064451,117.229079,Banana
82.0,28.0,45.0,24.454336,62.312182,5.80989,787.53597,Tobacco
118.0,12.0,47.0,27.96872279,92.17444796,6.010739645,28.94766949,Muskmelon
36.0,144.0,196.0,23.65167552,94.50528753,6.496934492,115.3611268,Apple
37.0,79.0,19.0,27.54384835,69.3478631,7.143942758,69.40878198,Blackgram
101.0,49.0,78.0,32.635049,74.42933,6.719451,1571.736738,Sugarcane
80.0,17.0,51.0,21.294246,81.920959,5.305965,2385.36271,Tea
14.0,18.0,35.0,31.09154239,47.02058367,4.791146778,91.46664318,Mango
18.0,79.0,20.0,20.27514686,23.2353604,5.877347515,139.7521543,KidneyBeans
23.0,24.0,32.0,28.1218093,46.16888595,5.630619901,93.30247448,Mango
24.0,37.0,21.0,30.573999,58.22686794,5.818219385,62.74803826,MothBeans
16.0,143.0,197.0,22.61711614,93.51978375,5.90402645,116.9256766,Apple
38.0,60.0,76.0,18.65054116,17.80852431,8.868741443,77.92798682,ChickPea
60.0,36.0,53.0,22.905797,89.528135,6.531224,2135.733955,Vanilla
2.0,21.0,35.0,25.02887163,91.53720922,6.293662363,179.8248944,Coconut
32.0,55.0,52.0,37.58899717,91.99740365,6.9677596,159.6577388,Papaya
49.0,49.0,36.0,25.915029,77.98035,6.818534,1010.821034,Soyabean
85.0,33.0,25.0,26.20811417,52.50987966,6.910823945,189.0944824,Coffee
