Crop,N_Uptake_kg_ha,P_Uptake_kg_ha,K_Uptake_kg_ha,N_Fixation_kg_ha,Family,Demand_Class,Uganda_Relevant,Net_N_Effect_kg_ha
Rice,100,20,60,0,Cereal,Heavy feeder,True,-100
Maize,120,25,90,0,Cereal,Heavy feeder,True,-120
ChickPea,25,8,20,55,Legume,Soil-improving,True,30
KidneyBeans,25,8,20,55,Legume,Soil-improving,True,30
PigeonPeas,20,7,18,65,Legume,Soil-improving,True,45
MothBeans,18,6,15,50,Legume,Soil-improving,True,32
MungBean,18,6,15,50,Legume,Soil-improving,True,32
Blackgram,18,6,15,50,Legume,Soil-improving,True,32
Lentil,20,7,18,55,Legume,Soil-improving,False,35
Banana,200,35,300,0,Perennial,Very heavy feeder,True,-200
Coffee,90,15,120,0,Perennial,Heavy feeder,True,-90
Cotton,100,20,50,0,Fibre,Heavy feeder,False,-100
Jute,60,15,35,0,Fibre,Moderate feeder,False,-60
Coconut,80,20,120,0,Perennial,Heavy feeder,False,-80
Papaya,100,25,150,0,Fruit,Heavy feeder,False,-100
Mango,70,20,90,0,Perennial,Moderate feeder,False,-70
Apple,60,18,80,0,Perennial,Moderate feeder,False,-60
Orange,70,18,90,0,Perennial,Moderate feeder,False,-70
Grapes,50,15,70,0,Perennial,Moderate feeder,False,-50
Pomegranate,55,15,75,0,Perennial,Moderate feeder,False,-55
Watermelon,60,20,80,0,Vegetable,Heavy feeder,False,-60
Muskmelon,55,18,75,0,Vegetable,Heavy feeder,False,-55
Cassava,70,15,100,0,Root/Tuber,Heavy K feeder,True,-70
SweetPotato,45,10,70,0,Root/Tuber,Moderate feeder,True,-45
Sorghum,80,18,50,0,Cereal,Moderate feeder,True,-80
Millet,50,12,35,0,Cereal,Light feeder,True,-50
Groundnut,20,7,18,80,Legume,Soil-improving,True,60
GardenBean,25,8,20,60,Legume,Soil-improving,True,35
Soyabean,25,8,20,65,Legume,Soil-improving,True,40
SesameSeed,35,10,25,0,Oilseed,Moderate feeder,True,-35
Sugarcane,150,30,180,0,Cash Crop,Very heavy feeder,True,-150
Plantain,200,35,300,0,Perennial,Very heavy feeder,True,-200
Onion,60,25,80,0,Vegetable,Heavy feeder,True,-60
SunflowerSeed,60,20,60,0,Oilseed,Moderate feeder,True,-60
Tea,80,15,60,0,Cash Crop,Heavy feeder,True,-80
Tobacco,70,20,60,0,Cash Crop,Heavy feeder,True,-70
Cocoa,65,15,80,0,Cash Crop,Moderate feeder,True,-65
Vanilla,40,12,45,0,Cash Crop,Moderate feeder,True,-40
