Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop
34.0,9.0,35.0,26.344613,56.339006,5.370471,1186.257951,Cassava
29.0,13.0,36.0,27.043529,63.304375,5.763767,884.010242,Cassava
35.0,14.0,40.0,30.442963,67.536706,4.440573,1206.529066,Cassava
42.0,12.0,40.0,30.086963,67.828864,5.225188,1294.014815,Cassava
28.0,14.0,23.0,28.445656,64.349542,4.739743,1124.418283,Cassava
28.0,17.0,26.0,28.805051,71.85995,4.80515,1387.823246,Cassava
43.0,23.0,36.0,31.821929,60.026657,4.763042,910.717944,Cassava
36.0,16.0,36.0,26.961914,66.503344,4.654404,825.962153,Cassava
26.0,16.0,36.0,29.922453,68.342069,5.019409,729.830355,Cassava
34.0,15.0,50.0,27.974299,71.101072,4.66762,1319.287976,Cassava
26.0,7.0,36.0,27.934029,72.481304,5.108183,1167.785818,Cassava
26.0,15.0,40.0,31.35682,59.627505,4.979905,1039.994759,Cassava
32.0,15.0,39.0,30.646083,56.761201,4.904421,1100.394353,Cassava
15.0,25.0,37.0,30.615125,76.443738,4.636975,847.411971,Cassava
16.0,14.0,30.0,31.894245,69.826198,4.769291,1490.235356,Cassava
26.0,16.0,38.0,28.55461,62.260594,5.302156,1073.259813,Cassava
22.0,15.0,27.0,30.273078,78.358064,5.200367,1069.691063,Cassava
33.0,10.0,31.0,27.693306,68.309722,4.608978,1180.637992,Cassava
23.0,20.0,29.0,29.342833,75.75508,5.039733,1136.581662,Cassava
19.0,18.0,33.0,28.161628,67.972629,5.300555,1090.299124,Cassava
42.0,18.0,49.0,28.75219,81.925235,4.332238,907.714598,Cassava
28.0,11.0,19.0,30.047408,79.787386,5.217344,1134.864304,Cassava
31.0,21.0,37.0,26.372626,65.757251,4.73495,1388.764409,Cassava
19.0,9.0,21.0,33.940207,74.300997,5.228239,1292.175608,Cassava
26.0,17.0,29.0,25.884355,72.017632,4.694696,1336.773593,Cassava
31.0,24.0,40.0,25.34311,77.080421,4.278047,957.981178,Cassava
21.0,11.0,33.0,31.511088,60.745536,4.348983,871.871132,Cassava
33.0,13.0,25.0,30.558323,72.30236,5.019234,1027.358354,Cassava
25.0,15.0,27.0,30.122712,74.908971,5.103889,1060.030484,Cassava
28.0,13.0,37.0,30.133698,55.188824,4.638273,1246.954473,Cassava
25.0,9.0,27.0,28.468158,59.21719,5.255437,745.356367,Cassava
45.0,15.0,34.0,26.167139,53.225375,4.335392,1325.319058,Cassava
30.0,11.0,33.0,28.697092,65.614152,4.973568,1021.558578,Cassava
22.0,17.0,28.0,26.73938,72.522796,4.515594,973.161407,Cassava
37.0,11.0,48.0,31.035311,78.016499,4.739266,867.821212,Cassava
20.0,21.0,37.0,28.117651,68.018663,5.018959,752.125799,Cassava
32.0,12.0,18.0,26.353707,78.900309,4.655835,1198.170705,Cassava
14.0,14.0,34.0,27.664397,57.83929,4.846178,1063.197234,Cassava
19.0,18.0,28.0,29.573622,55.576323,5.402517,817.807038,Cassava
32.0,10.0,38.0,27.034316,67.111166,4.769243,816.885821,Cassava
36.0,16.0,27.0,26.362227,70.188458,5.334277,989.558754,Cassava
31.0,20.0,32.0,29.133587,67.271137,4.548117,1350.423875,Cassava
29.0,9.0,36.0,29.136913,53.027905,5.211922,1003.273557,Cassava
28.0,16.0,39.0,27.181948,66.87616,5.576627,779.434268,Cassava
18.0,16.0,24.0,27.2753,58.368713,4.011342,1005.766248,Cassava
24.0,18.0,30.0,29.10333,72.187708,4.681242,1000.909757,Cassava
26.0,10.0,29.0,24.734981,70.066188,5.230829,600.0,Cassava
38.0,10.0,28.0,24.840594,60.920841,4.918782,1040.226924,Cassava
33.0,17.0,45.0,26.632045,63.902932,5.148458,1008.431785,Cassava
16.0,16.0,35.0,27.945037,60.085505,4.758406,1175.317146,Cassava
33.0,16.0,24.0,29.30836,67.061246,5.034636,1382.812097,Cassava
27.0,16.0,39.0,32.335926,74.185996,4.937729,1252.781705,Cassava
25.0,12.0,47.0,30.729915,60.599918,5.467113,1001.600036,Cassava
35.0,16.0,40.0,28.08416,71.028326,5.101768,850.825336,Cassava
38.0,16.0,22.0,28.450558,63.788197,5.135041,1500.0,Cassava
37.0,12.0,29.0,25.893424,61.94989,4.835249,1060.659318,Cassava
23.0,22.0,41.0,28.451866,66.750787,4.804958,1052.507273,Cassava
28.0,17.0,28.0,27.749488,60.253304,4.826977,1045.657484,Cassava
